,name
0,Aram Manukyan
1,Abul Kashem
2,Hatem Ali Khan
3,Quatre Sou Quatre
4,Bambang Santoso
5,Duraid Kashmoula
6,No Choe
7,Sekula Drljević
8,Hipólito Chaiña
9,Mieczysław Mickiewicz
10,William Coe (governor)
11,Semisi Sika
12,Mohamed Salah Fliss
13,Volodymyr Artyukh
14,Barbara Eibinger-Miedl
15,Mehrali Gasimov
16,Kyaw Myint
17,André Ngongang Ouandji
18,Tomás Pimentel
19,Richard Sumah
20,Segun ''Aeroland'' Adewale
21,Bashir Bililiqo
